name,path,width,height,area,wall_count,wall_rate,box_count,box_rate,target_count,box_on_target_count,effective_box_count,effective_box_rate
"Level_001","Assets/Resources/Levels/Microban1/Level_001.asset",6,7,42,22,0.52381,2,0.047619,2,1,1,0.02381
"Level_002","Assets/Resources/Levels/Microban1/Level_002.asset",6,7,42,23,0.547619,3,0.071429,3,2,1,0.02381
"Level_003","Assets/Resources/Levels/Microban1/Level_003.asset",9,6,54,29,0.537037,2,0.037037,2,0,2,0.037037
"Level_004","Assets/Resources/Levels/Microban1/Level_004.asset",8,6,48,24,0.5,3,0.0625,3,2,1,0.020833
"Level_005","Assets/Resources/Levels/Microban1/Level_005.asset",8,7,56,26,0.464286,4,0.071429,4,0,4,0.071429
"Level_006","Assets/Resources/Levels/Microban1/Level_006.asset",12,6,72,36,0.5,3,0.041667,3,0,3,0.041667
"Level_007","Assets/Resources/Levels/Microban1/Level_007.asset",7,8,56,26,0.464286,6,0.107143,6,0,6,0.107143
"Level_008","Assets/Resources/Levels/Microban1/Level_008.asset",8,12,96,42,0.4375,2,0.020833,2,0,2,0.020833
"Level_009","Assets/Resources/Levels/Microban1/Level_009.asset",6,7,42,22,0.52381,2,0.047619,2,0,2,0.047619
"Level_010","Assets/Resources/Levels/Microban1/Level_010.asset",11,8,88,39,0.443182,3,0.034091,3,0,3,0.034091
"Level_011","Assets/Resources/Levels/Microban1/Level_011.asset",9,8,72,34,0.472222,2,0.027778,2,0,2,0.027778
"Level_012","Assets/Resources/Levels/Microban1/Level_012.asset",9,8,72,32,0.444444,2,0.027778,2,0,2,0.027778
"Level_013","Assets/Resources/Levels/Microban1/Level_013.asset",7,9,63,28,0.444444,3,0.047619,3,0,3,0.047619
"Level_014","Assets/Resources/Levels/Microban1/Level_014.asset",7,6,42,24,0.571429,2,0.047619,2,1,1,0.02381
"Level_015","Assets/Resources/Levels/Microban1/Level_015.asset",9,7,63,30,0.476191,2,0.031746,2,1,1,0.015873
"Level_016","Assets/Resources/Levels/Microban1/Level_016.asset",10,8,80,37,0.4625,3,0.0375,3,0,3,0.0375
"Level_017","Assets/Resources/Levels/Microban1/Level_017.asset",6,7,42,22,0.52381,3,0.071429,3,0,3,0.071429
"Level_018","Assets/Resources/Levels/Microban1/Level_018.asset",7,9,63,30,0.476191,2,0.031746,2,0,2,0.031746
"Level_019","Assets/Resources/Levels/Microban1/Level_019.asset",8,8,64,29,0.453125,2,0.03125,2,0,2,0.03125
"Level_020","Assets/Resources/Levels/Microban1/Level_020.asset",9,8,72,33,0.458333,2,0.027778,2,0,2,0.027778
"Level_021","Assets/Resources/Levels/Microban1/Level_021.asset",7,6,42,23,0.547619,2,0.047619,2,0,2,0.047619
"Level_022","Assets/Resources/Levels/Microban1/Level_022.asset",7,9,63,30,0.476191,2,0.031746,2,0,2,0.031746
"Level_023","Assets/Resources/Levels/Microban1/Level_023.asset",7,7,49,25,0.510204,2,0.040816,2,1,1,0.020408
"Level_024","Assets/Resources/Levels/Microban1/Level_024.asset",7,7,49,27,0.55102,2,0.040816,2,0,2,0.040816
"Level_025","Assets/Resources/Levels/Microban1/Level_025.asset",7,7,49,24,0.489796,3,0.061224,3,0,3,0.061224
"Level_026","Assets/Resources/Levels/Microban1/Level_026.asset",6,8,48,25,0.520833,3,0.0625,3,0,3,0.0625
"Level_027","Assets/Resources/Levels/Microban1/Level_027.asset",7,7,49,27,0.55102,2,0.040816,2,0,2,0.040816
"Level_028","Assets/Resources/Levels/Microban1/Level_028.asset",7,7,49,24,0.489796,2,0.040816,2,0,2,0.040816
"Level_029","Assets/Resources/Levels/Microban1/Level_029.asset",11,9,99,44,0.444444,2,0.020202,2,0,2,0.020202
"Level_030","Assets/Resources/Levels/Microban1/Level_030.asset",6,7,42,22,0.52381,3,0.071429,3,0,3,0.071429
"Level_031","Assets/Resources/Levels/Microban1/Level_031.asset",7,7,49,24,0.489796,3,0.061224,3,0,3,0.061224
"Level_032","Assets/Resources/Levels/Microban1/Level_032.asset",7,7,49,24,0.489796,3,0.061224,3,2,1,0.020408
"Level_033","Assets/Resources/Levels/Microban1/Level_033.asset",7,7,49,27,0.55102,3,0.061224,3,0,3,0.061224
"Level_034","Assets/Resources/Levels/Microban1/Level_034.asset",9,6,54,26,0.481482,4,0.074074,4,3,1,0.018519
"Level_035","Assets/Resources/Levels/Microban1/Level_035.asset",7,10,70,28,0.4,5,0.071429,5,0,5,0.071429
"Level_036","Assets/Resources/Levels/Microban1/Level_036.asset",15,5,75,36,0.48,5,0.066667,5,0,5,0.066667
"Level_037","Assets/Resources/Levels/Microban1/Level_037.asset",9,8,72,34,0.472222,3,0.041667,3,0,3,0.041667
"Level_038","Assets/Resources/Levels/Microban1/Level_038.asset",10,7,70,38,0.542857,3,0.042857,3,0,3,0.042857
"Level_039","Assets/Resources/Levels/Microban1/Level_039.asset",10,9,90,41,0.455556,2,0.022222,2,0,2,0.022222
"Level_040","Assets/Resources/Levels/Microban1/Level_040.asset",7,6,42,22,0.52381,3,0.071429,3,0,3,0.071429
"Level_041","Assets/Resources/Levels/Microban1/Level_041.asset",8,6,48,25,0.520833,3,0.0625,3,0,3,0.0625
"Level_042","Assets/Resources/Levels/Microban1/Level_042.asset",7,8,56,27,0.482143,3,0.053571,3,0,3,0.053571
"Level_043","Assets/Resources/Levels/Microban1/Level_043.asset",9,9,81,33,0.407407,3,0.037037,3,0,3,0.037037
"Level_044","Assets/Resources/Levels/Microban1/Level_044.asset",5,3,15,12,0.8,1,0.066667,1,0,1,0.066667
"Level_045","Assets/Resources/Levels/Microban1/Level_045.asset",6,7,42,24,0.571429,3,0.071429,3,0,3,0.071429
"Level_046","Assets/Resources/Levels/Microban1/Level_046.asset",7,8,56,30,0.535714,2,0.035714,2,1,1,0.017857
"Level_047","Assets/Resources/Levels/Microban1/Level_047.asset",11,7,77,39,0.506494,2,0.025974,2,0,2,0.025974
"Level_048","Assets/Resources/Levels/Microban1/Level_048.asset",8,8,64,31,0.484375,3,0.046875,3,0,3,0.046875
"Level_049","Assets/Resources/Levels/Microban1/Level_049.asset",8,10,80,37,0.4625,3,0.0375,3,0,3,0.0375
"Level_050","Assets/Resources/Levels/Microban1/Level_050.asset",10,7,70,35,0.5,2,0.028571,2,0,2,0.028571
"Level_051","Assets/Resources/Levels/Microban1/Level_051.asset",8,7,56,27,0.482143,2,0.035714,2,1,1,0.017857
"Level_052","Assets/Resources/Levels/Microban1/Level_052.asset",6,8,48,24,0.5,4,0.083333,4,2,2,0.041667
"Level_053","Assets/Resources/Levels/Microban1/Level_053.asset",7,7,49,25,0.510204,4,0.081633,4,2,2,0.040816
"Level_054","Assets/Resources/Levels/Microban1/Level_054.asset",12,8,96,40,0.416667,4,0.041667,4,0,4,0.041667
"Level_055","Assets/Resources/Levels/Microban1/Level_055.asset",10,8,80,37,0.4625,2,0.025,2,0,2,0.025
"Level_056","Assets/Resources/Levels/Microban1/Level_056.asset",7,6,42,22,0.52381,2,0.047619,2,1,1,0.02381
"Level_057","Assets/Resources/Levels/Microban1/Level_057.asset",8,9,72,31,0.430556,2,0.027778,2,1,1,0.013889
"Level_058","Assets/Resources/Levels/Microban1/Level_058.asset",7,7,49,25,0.510204,3,0.061224,3,1,2,0.040816
"Level_059","Assets/Resources/Levels/Microban1/Level_059.asset",13,9,117,56,0.478633,3,0.025641,3,0,3,0.025641
"Level_060","Assets/Resources/Levels/Microban1/Level_060.asset",10,10,100,54,0.54,4,0.04,4,0,4,0.04
"Level_061","Assets/Resources/Levels/Microban1/Level_061.asset",9,10,90,44,0.488889,4,0.044444,4,0,4,0.044444
"Level_062","Assets/Resources/Levels/Microban1/Level_062.asset",13,6,78,38,0.48718,4,0.051282,4,0,4,0.051282
"Level_063","Assets/Resources/Levels/Microban1/Level_063.asset",19,6,114,54,0.473684,2,0.017544,2,0,2,0.017544
"Level_064","Assets/Resources/Levels/Microban1/Level_064.asset",10,9,90,36,0.4,4,0.044444,4,0,4,0.044444
"Level_065","Assets/Resources/Levels/Microban1/Level_065.asset",9,9,81,36,0.444444,4,0.049383,4,0,4,0.049383
"Level_066","Assets/Resources/Levels/Microban1/Level_066.asset",9,14,126,52,0.412698,3,0.02381,3,0,3,0.02381
"Level_067","Assets/Resources/Levels/Microban1/Level_067.asset",7,8,56,28,0.5,3,0.053571,3,1,2,0.035714
"Level_068","Assets/Resources/Levels/Microban1/Level_068.asset",10,7,70,32,0.457143,3,0.042857,3,0,3,0.042857
"Level_069","Assets/Resources/Levels/Microban1/Level_069.asset",11,8,88,44,0.5,3,0.034091,3,0,3,0.034091
"Level_070","Assets/Resources/Levels/Microban1/Level_070.asset",8,10,80,37,0.4625,4,0.05,4,0,4,0.05
"Level_071","Assets/Resources/Levels/Microban1/Level_071.asset",13,9,117,63,0.538462,2,0.017094,2,0,2,0.017094
"Level_072","Assets/Resources/Levels/Microban1/Level_072.asset",10,11,110,45,0.409091,3,0.027273,3,0,3,0.027273
"Level_073","Assets/Resources/Levels/Microban1/Level_073.asset",8,10,80,42,0.525,3,0.0375,3,0,3,0.0375
"Level_074","Assets/Resources/Levels/Microban1/Level_074.asset",11,8,88,39,0.443182,4,0.045455,4,0,4,0.045455
"Level_075","Assets/Resources/Levels/Microban1/Level_075.asset",10,7,70,34,0.485714,4,0.057143,4,0,4,0.057143
"Level_076","Assets/Resources/Levels/Microban1/Level_076.asset",10,11,110,47,0.427273,3,0.027273,3,0,3,0.027273
"Level_077","Assets/Resources/Levels/Microban1/Level_077.asset",11,7,77,37,0.48052,4,0.051948,4,0,4,0.051948
"Level_078","Assets/Resources/Levels/Microban1/Level_078.asset",11,8,88,38,0.431818,5,0.056818,5,0,5,0.056818
"Level_079","Assets/Resources/Levels/Microban1/Level_079.asset",10,6,60,32,0.533333,3,0.05,3,0,3,0.05
"Level_080","Assets/Resources/Levels/Microban1/Level_080.asset",10,11,110,48,0.436364,4,0.036364,4,0,4,0.036364
"Level_081","Assets/Resources/Levels/Microban1/Level_081.asset",6,9,54,28,0.518519,3,0.055556,3,2,1,0.018519
"Level_082","Assets/Resources/Levels/Microban1/Level_082.asset",8,8,64,33,0.515625,3,0.046875,3,1,2,0.03125
"Level_083","Assets/Resources/Levels/Microban1/Level_083.asset",8,10,80,36,0.45,4,0.05,4,0,4,0.05
